Index,Room_Og,Room_Changed
13027,241,41
9110,1,162
8951,1,41
687,41,162
10390,41,241
8687,41,1
604,41,241
3907,41,1
10817,41,162
3719,1,41
5838,41,162
4504,41,162
380,241,162
2011,41,162
7887,241,41
11475,41,1
7423,41,162
10392,41,162
4275,1,41
7315,1,41
2438,1,241
6943,1,41
1346,41,1
11438,241,1
2217,241,41
645,241,162
5507,41,1
3265,41,1
8418,241,1
4232,1,41
4700,241,1
8833,1,241
4981,41,1
4565,41,162
175,241,1
562,1,162
11825,241,41
6284,41,1
925,41,241
2541,41,241
6952,41,241
3066,1,41
3504,41,1
10415,41,1
6743,241,162
2590,241,162
6326,41,162
10685,41,241
5941,41,1
2857,41,1
1710,41,241
954,1,41
4470,41,162
1663,41,241
3626,41,162
9154,41,162
1273,1,241
1679,41,1
1570,241,1
12691,41,241
431,241,41
8809,41,1
1735,41,162
6961,41,1
9553,1,162
377,41,162
5822,1,241
10937,41,162
12187,41,241
7863,41,162
9312,241,1
2273,1,241
4759,41,241
5325,41,241
208,1,41
543,41,1
4119,41,241
2483,1,241
10880,241,162
920,41,1
7103,1,41
9640,1,41
9644,41,162
2751,41,1
9252,41,162
1148,41,162
830,41,1
11524,41,1
10502,41,241
4468,41,1
5970,41,1
10009,1,241
9435,1,162
7132,41,1
9538,41,1
5751,41,241
8591,41,1
8152,241,1
10554,41,162
12472,41,162
8737,1,162
7692,41,1
1723,41,241
9117,1,241
12386,41,1
1459,41,1
3279,241,1
12221,1,41
7002,241,162
11588,41,162
9445,41,1
10715,41,162
5084,1,241
1754,41,1
8495,41,241
8756,41,162
4487,1,41
10520,41,162
8416,41,162
8651,41,162
9290,241,41
12143,241,162
3171,241,162
7281,41,1
11770,41,162
7481,41,241
9301,41,241
3901,41,241
11060,241,41
3185,41,241
5782,41,241
1063,41,162
10089,41,1
9613,41,162
12849,41,1
12284,41,1
5315,41,241
3793,41,162
7266,41,1
8555,41,241
6370,1,41
5622,41,1
7929,41,162
12327,1,241
7557,41,241
858,241,41
8909,41,1
8273,41,241
8310,41,241
3547,1,162
6210,41,241
7088,41,162
4724,41,1
11033,41,1
11039,241,41
2509,241,162
6947,41,241
4561,41,241
3116,241,162
10085,241,1
2154,241,41
12293,41,241
12937,41,241
5198,41,162
7437,41,241
105,41,162
1790,41,162
4874,41,162
4715,41,1
11077,1,162
4307,41,241
10179,41,162
4790,241,1
4219,41,1
3835,41,1
12060,41,241
5293,241,1
11473,41,1
4740,41,241
9456,41,241
10903,41,162
9531,241,41
12598,41,1
6430,41,162
11345,41,1
10404,41,162
11832,1,162
10414,41,241
1579,41,1
184,41,1
6304,41,162
9917,241,162
2787,41,241
3280,1,41
10904,41,162
6574,41,1
5927,241,41
1221,41,1
7073,41,162
9572,41,162
1329,41,241
4869,241,41
1500,41,241
8124,41,241
7559,41,241
6983,41,241
4935,41,1
7017,41,241
3131,41,1
1155,41,162
2624,41,241
3127,1,162
7512,41,241
11082,41,241
739,41,162
3176,1,241
3810,1,241
3712,41,1
8753,41,1
2569,41,241
10482,241,162
296,1,162
4685,41,162
4888,241,1
4746,41,241
9890,41,1
7402,1,162
9653,41,1
87,41,241
4098,41,241
11387,1,41
4674,162,41
7121,41,162
5353,1,162
8400,41,162
6103,41,1
1032,41,1
10191,241,162
13126,41,1
6138,241,162
9946,1,162
1584,41,162
10775,41,1
10135,41,1
7047,41,162
11337,41,241
1411,241,41
6372,241,41
7256,41,162
7987,241,1
2869,1,162
9122,241,162
6778,1,241
7746,41,241
5869,41,162
474,41,1
1534,41,1
1175,241,1
12392,1,241
7809,41,241
8507,41,241
11925,1,241
9332,41,241
5727,41,1
13080,241,41
1198,1,41
8539,241,162
6525,241,41
2524,1,41
11512,41,241
5638,241,41
6955,241,41
7586,41,241
404,241,1
7365,41,1
2662,41,162
11177,1,241
1328,41,241
6718,41,162
11451,41,241
7589,1,162
5125,241,1
4912,241,41
7961,1,241
4460,41,1
283,41,162
1211,241,1
12367,41,241
4985,41,1
1842,241,162
1794,1,162
5433,41,162
1320,41,241
11198,241,162
11614,41,1
4140,41,162
5493,41,162
4714,41,162
10939,41,241
12968,41,241
4015,41,162
8733,241,1
3585,41,162
7366,41,241
3904,1,241
3010,241,1
5891,41,1
9194,41,241
10587,41,1
12911,241,41
9308,41,1
11919,1,41
7806,41,1
12313,41,162
8003,1,41
2107,241,1
4109,41,241
8894,241,162
10528,41,162
5651,41,1
9660,162,41
12609,1,162
2712,241,1
4467,41,241
6855,41,162
7297,241,41
12675,241,1
1006,41,1
9772,41,162
5207,241,41
7804,241,41
7540,41,162
5181,41,162
9581,241,162
10898,41,162
9634,241,162
3373,241,1
218,41,1
4067,41,1
9450,41,1
2627,41,241
9491,41,162
6516,41,1
937,41,241
518,241,41
13125,41,1
7075,41,162
12212,41,241
874,41,241
8945,241,162
1750,1,162
6378,41,1
7069,241,41
6004,41,1
13131,241,1
637,1,41
3844,41,241
4654,241,1
8043,41,241
5583,41,241
13,41,162
7282,41,162
6879,41,162
5631,241,41
9693,1,41
8948,241,1
9043,41,162
9452,41,1
11257,41,162
8659,41,1
149,1,241
6368,41,1
11861,41,1
1623,241,41
8038,1,41
10937,162,41
12318,41,241
3341,41,241
3537,41,162
11054,41,1
11773,41,162
10303,41,162
913,41,162
9320,1,41
1447,41,241
7869,41,241
11061,241,41
11907,1,41
2090,41,241
3187,1,241
223,41,1
6505,41,241
10337,41,1
11346,41,241
1333,241,1
4463,241,162
7879,1,241
12933,41,241
6055,241,162
9732,41,1
12478,41,241
7228,41,241
5670,41,241
9244,41,241
5247,1,241
1570,1,241
1843,41,162
804,241,162
11883,41,241
12231,41,1
5440,41,162
1141,41,1
4060,41,162
10105,1,41
12918,41,241
10331,1,41
764,41,1
10985,162,41
11889,41,241
13107,41,1
4049,41,1
11297,41,241
2341,241,41
12372,41,162
8816,41,162
9718,41,241
7171,41,241
11005,41,162
5745,41,162
13042,162,241
8706,162,1
12953,41,1
4710,241,41
2105,41,162
12432,1,41
176,41,1
4932,41,1
4879,41,162
4635,41,1
2109,241,41
10047,41,241
726,41,1
3763,1,241
2925,241,162
10676,41,241
9249,41,162
9214,1,241
5323,41,162
7310,1,241
4882,41,1
3543,1,41
9139,41,241
3130,41,241
924,41,241
4162,41,241
10933,241,1
260,41,1
6661,241,1
6692,41,162
12151,162,241
10227,41,241
12202,41,162
11329,41,241
6770,41,241
5163,41,241
35,41,162
3988,241,162
8937,41,1
358,41,1
2346,41,162
8305,241,162
5643,41,1
8567,41,241
12707,241,1
10862,41,1
4933,41,1
1237,41,162
1661,41,1
8761,41,162
2446,162,1
8099,241,41
11362,41,1
109,1,241
11226,241,162
9807,41,162
12691,241,41
1525,241,162
4666,41,1
5566,1,241
1800,41,162
4497,1,162
11456,41,241
10866,1,241
5965,41,1
8200,41,241
3962,41,1
4293,1,162
10787,41,1
4147,241,1
10852,41,1
8131,41,1
4339,241,41
8033,41,241
2395,241,41
1188,41,1
6578,241,162
6074,41,162
3614,162,41
8566,41,241
11696,241,1
2400,41,162
6239,41,162
7258,41,1
7937,41,162
1670,41,162
3136,241,1
7657,41,162
1305,241,162
11248,41,162
9232,41,241
5994,41,1
9353,41,241
1200,241,1
5403,41,162
11943,41,162
1244,41,1
3503,41,1
1948,241,1
8474,1,41
7078,41,241
716,41,241
6573,1,41
1489,1,241
1578,241,162
619,41,241
6097,41,162
7698,241,162
10075,41,1
3398,41,1
8779,41,1
3784,41,1
6356,1,241
11430,1,41
3627,41,241
12616,41,1
10696,241,162
4727,162,1
6980,241,41
4987,41,1
6450,241,41
609,41,1
741,41,1
7663,41,162
6431,41,241
12611,41,241
10995,41,1
10118,41,162
6218,41,241
8994,241,162
3802,41,1
12020,41,241
3616,241,41
4441,41,1
11805,41,162
7541,41,162
957,41,1
12751,1,241
5142,1,241
12737,41,162
11514,1,41
5217,41,241
5170,41,1
3548,41,1
4283,241,162
9405,41,162
8796,41,241
610,41,241
12899,41,241
2974,41,1
2872,241,1
95,241,162
8060,41,1
9988,41,162
6629,41,162
8925,41,1
4871,41,162
4733,41,162
6656,41,162
6933,241,41
5350,41,241
1781,41,162
1358,241,162
1737,41,162
2581,41,162
3906,241,162
9347,41,1
7635,41,1
9237,241,1
1567,41,1
7620,241,41
10731,41,1
4745,41,162
1740,241,1
1736,241,1
6722,241,41
11833,162,41
12605,241,41
8535,41,1
10864,41,1
3568,41,162
8791,241,41
9553,162,241
2207,241,162
13061,41,162
7314,1,41
4145,241,1
4072,241,162
5300,1,241
7624,1,241
1970,241,1
603,41,162
6562,241,162
12291,1,162
5444,41,241
1169,41,241
4585,41,162
12658,241,162
5123,1,241
6314,41,162
945,1,41
11596,41,1
10339,41,241
8083,41,241
10272,241,162
3952,41,162
698,241,41
3947,41,241
12177,41,1
1003,1,41
1673,41,241
8573,41,162
12182,1,162
7446,41,241
10410,41,162
276,41,162
9534,1,162
5306,41,1
12205,241,41
7511,41,241
3461,41,241
6986,241,1
5755,41,162
12391,241,41
10343,41,241
13093,41,1
7022,41,241
9130,162,1
6990,1,241
8327,241,1
9223,1,241
5861,41,241
2517,41,162
6757,41,241
4814,241,162
9410,41,162
827,1,162
1131,41,162
1095,41,241
5880,41,162
12125,241,1
11367,41,1
8633,1,41
11575,41,1
4305,241,1
12083,41,162
10911,241,41
6534,41,162
7985,1,241
9231,41,162
12007,41,162
8696,41,162
1910,41,241
1020,41,162
10566,41,162
6493,41,1
3846,41,241
8863,41,241
7064,41,241
1034,41,162
1621,41,241
2198,41,241
11457,41,1
8901,41,1
