Index,Room_Og,Room_Changed
11247,41,241
6051,41,241
4698,41,241
5244,41,162
9607,1,241
10187,41,1
10643,41,241
10246,41,1
3535,41,241
11979,1,162
6283,41,162
3028,41,162
5273,41,1
4318,41,241
2785,41,162
2024,241,1
3085,241,41
6726,41,241
11395,1,41
10264,41,241
12251,41,41
3181,1,41
266,41,162
2358,41,241
5448,41,1
11961,1,162
7496,41,162
7734,41,162
2579,241,162
4044,41,1
5046,162,241
3319,1,41
12741,41,41
2331,41,162
7946,41,162
11059,41,241
2289,241,162
8713,41,41
9408,41,1
12371,41,162
12572,41,162
1201,41,41
42,241,41
9828,41,41
3349,241,1
3944,41,41
6128,41,41
3688,41,41
7259,41,1
8519,41,41
